event_id,market_group,market_title
sr:match:61301103,Half,Away Team to Win Either Half
sr:match:61301103,Half,Both Teams to Score in Both Halves Yes/No
sr:match:61301103,Half,Double Chance & 1st Half GG/NG
sr:match:61301103,Half,Double Chance & 2nd Half GG/NG
sr:match:61301103,Half,Excluded Number of Goals - First Half
sr:match:61301103,Half,Goal Bounds - 1st Half
sr:match:61301103,Half,Half Time/Full Time Correct Score
sr:match:61301103,Half,Half-time Away Team Total Goals Odd or Even
sr:match:61301103,Half,Half-time Away Team to Score Yes/No
sr:match:61301103,Half,Half-time Home Team To Score Yes/No
sr:match:61301103,Half,Half-time Home Team Total Goals Odd or Even
sr:match:61301103,Half,Highest Scoring Half
sr:match:61301103,Half,Home Team Highest Scoring Half
sr:match:61301103,Half,Home Team to Win Both Halves
sr:match:61301103,Half,Home Team to Win Either Half
sr:match:61301103,Main,1X2
sr:match:61301103,Main,1X2 - 1UP
sr:match:61301103,Main,1X2 - 2UP
sr:match:61301103,Main,1st Goal
sr:match:61301103,Main,Any Team To Score 2 or More Goals in a Row
sr:match:61301103,Main,Any Team To Score 3 or More Goals in a Row
sr:match:61301103,Main,Any Team to lead by 1 Goal at any time
sr:match:61301103,Main,Any Team to lead by 2 Goals at any time
sr:match:61301103,Main,Any Team to lead by 3 Goals at any time
sr:match:61301103,Main,Asian Handicap -0.5
sr:match:61301103,Main,Asian Handicap 0.5
sr:match:61301103,Main,Asian Handicap 1.5
sr:match:61301103,Main,Asian Handicap 2.5
sr:match:61301103,Main,Away No Bet
sr:match:61301103,Main,Away Team To Score 2 or More Goals in a Row
sr:match:61301103,Main,Away Team To Score 3 or More Goals in a Row
sr:match:61301103,Main,Away Team to lead by 1 Goal at any time
sr:match:61301103,Main,Away Team to lead by 2 Goals at any time
sr:match:61301103,Main,Away Team to lead by 3 Goals at any time
sr:match:61301103,Main,Correct Score
sr:match:61301103,Main,Correct Score [0:0]
sr:match:61301103,Main,Double Chance
sr:match:61301103,Main,Draw No Bet
sr:match:61301103,Main,Exact Goals
sr:match:61301103,Main,Excluded Number of Goals
sr:match:61301103,Main,GG/NG
sr:match:61301103,Main,GG/NG 2+
sr:match:61301103,Main,Goal Bounds
sr:match:61301103,Main,Goal Range
sr:match:61301103,Main,Half Time/Full Time
sr:match:61301103,Main,Handicap 0:1
sr:match:61301103,Main,Handicap 0:2
sr:match:61301103,Main,Handicap 1:0
sr:match:61301103,Main,Handicap 2:0
sr:match:61301103,Main,Handicap 3:0
sr:match:61301103,Main,Handicap 4:0
sr:match:61301103,Main,Home No Bet
sr:match:61301103,Main,Home Team To Score 2 or More Goals in a Row
sr:match:61301103,Main,Home Team To Score 3 or More Goals in a Row
sr:match:61301103,Main,Home Team to lead by 1 Goal at any time
sr:match:61301103,Main,Home Team to lead by 2 Goals at any time
sr:match:61301103,Main,Home Team to lead by 3 Goals at any time
sr:match:61301103,Main,Last Goal
sr:match:61301103,Main,Odd/Even
sr:match:61301103,Main,Over/Under
sr:match:61301103,Main,Over/Under - Early Goals
sr:match:61301103,Main,Teams to Score
sr:match:61301103,Main,Winning Margin
sr:match:61301103,Minutes,10 minutes - 1X2 from 1 to 10
sr:match:61301103,Minutes,1X2 from 1 to 15 minute
sr:match:61301103,Minutes,1X2 from 1 to 20 minute
sr:match:61301103,Minutes,1X2 from 1 to 25 minute
sr:match:61301103,Minutes,1X2 from 1 to 30 minute
sr:match:61301103,Minutes,1X2 from 1 to 35 minute
sr:match:61301103,Minutes,1X2 from 1 to 40 minute
sr:match:61301103,Minutes,1X2 from 1 to 5 minute
sr:match:61301103,Minutes,1X2 from 1 to 50 minute
sr:match:61301103,Minutes,1X2 from 1 to 55 minute
sr:match:61301103,Minutes,1X2 from 1 to 60 minute
sr:match:61301103,Minutes,1X2 from 1 to 65 minute
sr:match:61301103,Minutes,1X2 from 1 to 70 minute
sr:match:61301103,Minutes,1X2 from 1 to 75 minute
sr:match:61301103,Minutes,1X2 from 1 to 80 minute
sr:match:61301103,Minutes,1X2 from 1 to 85 minute
sr:match:61301103,Minutes,Total Goals Over/Under from 1 to 10 minute
sr:match:61301103,Minutes,Total Goals Over/Under from 1 to 15 minute
sr:match:61301103,Minutes,Total Goals Over/Under from 1 to 20 minute
sr:match:61301103,Minutes,Total Goals Over/Under from 1 to 25 minute
sr:match:61301103,Minutes,Total Goals Over/Under from 1 to 30 minute
sr:match:61301103,Minutes,Total Goals Over/Under from 1 to 35 minute
sr:match:61301103,Minutes,Total Goals Over/Under from 1 to 40 minute
sr:match:61301103,Minutes,Total Goals Over/Under from 1 to 5 minute
sr:match:61301103,Minutes,Total Goals Over/Under from 1 to 50 minute
sr:match:61301103,Minutes,Total Goals Over/Under from 1 to 55 minute
sr:match:61301103,Minutes,Total Goals Over/Under from 1 to 60 minute
sr:match:61301103,Minutes,Total Goals Over/Under from 1 to 65 minute
sr:match:61301103,Minutes,Total Goals Over/Under from 1 to 70 minute
sr:match:61301103,Minutes,Total Goals Over/Under from 1 to 75 minute
sr:match:61301103,Minutes,Total Goals Over/Under from 1 to 80 minute
sr:match:61301103,Minutes,Total Goals Over/Under from 1 to 85 minute
sr:match:61301103,Minutes,When will the 1st goal be scored (10 min interval)
sr:match:61301103,Minutes,When will the 1st goal be scored (15 min interval)
sr:match:61301103,Players,1st Goalscorer
sr:match:61301103,Players,Anytime Goalscorer
sr:match:61301103,Players,Last Goalscorer
sr:match:61301103,Teams,Team Assists
sr:match:61301103,Teams,Team Cards
sr:match:61301103,Teams,Team Cards 1st Half
sr:match:61301103,Teams,Team Cards 2nd Half
sr:match:61301103,Teams,Team Saves
