market_group,market_title,normalized_family,model_target,builder_priority,supported_by_model,core_market
Minutes,Total Goals Over/Under from 1 to 80 minute,goals,totals,high,True,True
Minutes,Total Goals Over/Under from 1 to 85 minute,goals,totals,high,True,True
Goals,Valencia Over/Under,goals,totals,high,True,True
Goals,Villarreal Over/Under,goals,totals,high,True,True
Minutes,10 minutes - 1X2 from 1 to 10,result,1x2,high,True,True
Main,1X2,result,1x2,high,True,True
Main,1X2 - 1UP,result,1x2,high,True,True
Main,1X2 - 2UP,result,1x2,high,True,True
Minutes,1X2 from 1 to 15 minute,result,1x2,high,True,True
Minutes,1X2 from 1 to 20 minute,result,1x2,high,True,True
Minutes,1X2 from 1 to 25 minute,result,1x2,high,True,True
Minutes,1X2 from 1 to 30 minute,result,1x2,high,True,True
Minutes,1X2 from 1 to 35 minute,result,1x2,high,True,True
Minutes,1X2 from 1 to 40 minute,result,1x2,high,True,True
Minutes,1X2 from 1 to 5 minute,result,1x2,high,True,True
Minutes,1X2 from 1 to 50 minute,result,1x2,high,True,True
Minutes,1X2 from 1 to 55 minute,result,1x2,high,True,True
Minutes,1X2 from 1 to 60 minute,result,1x2,high,True,True
Minutes,1X2 from 1 to 65 minute,result,1x2,high,True,True
Minutes,1X2 from 1 to 70 minute,result,1x2,high,True,True
Minutes,1X2 from 1 to 75 minute,result,1x2,high,True,True
Minutes,1X2 from 1 to 80 minute,result,1x2,high,True,True
Minutes,1X2 from 1 to 85 minute,result,1x2,high,True,True
Half,1st Half - 1X2,result,1x2,high,True,True
Half,1st Half - 1X2 & GG/NG,result,1x2,high,True,True
Half,1st Half - 1X2 & Over/Under,result,1x2,high,True,True
Half,1st Half - Double Chance,result,1x2,high,True,True
Half,1st Half - Double Chance & GG/NG,result,1x2,high,True,True
Half,1st Half - Draw No Bet,result,1x2,high,True,True
Half,2nd Half - 1X2,result,1x2,high,True,True
Half,2nd Half - 1X2 & GG/NG,result,1x2,high,True,True
Half,2nd Half - 1X2 & Over/Under,result,1x2,high,True,True
Half,2nd Half - Double Chance,result,1x2,high,True,True
Half,2nd Half - Double Chance & GG/NG,result,1x2,high,True,True
Half,2nd Half - Draw No Bet,result,1x2,high,True,True
Main,Double Chance,result,1x2,high,True,True
Half,Double Chance & 1st Half GG/NG,result,1x2,high,True,True
Half,Double Chance & 2nd Half GG/NG,result,1x2,high,True,True
Main,Draw No Bet,result,1x2,high,True,True
Main,Winning Margin,result,1x2,high,True,True
Bookings,1st Booking,bookings,bookings,medium,False,True
Bookings,1st Half - 1st Booking,bookings,bookings,medium,False,True
Bookings,1st Half - Away Exact Bookings,bookings,bookings,medium,False,True
Bookings,1st Half - Away Sending Off,bookings,bookings,medium,False,True
Bookings,1st Half - Bookings 1X2,bookings,bookings,medium,False,True
Bookings,1st Half - Exact Bookings,bookings,bookings,medium,False,True
Bookings,1st Half - Home Exact Bookings,bookings,bookings,medium,False,True
Bookings,1st Half - Home Sending Off,bookings,bookings,medium,False,True
Bookings,1st Half - Sending Off,bookings,bookings,medium,False,True
Bookings,1st Half - Total Booking Points,bookings,bookings,medium,False,True
Bookings,1st Half Away Team Total Bookings,bookings,bookings,medium,False,True
Bookings,1st Half Bookings - Over/Under,bookings,bookings,medium,False,True
Bookings,1st Half Home Team Total Bookings,bookings,bookings,medium,False,True
Bookings,Away Exact Bookings,bookings,bookings,medium,False,True
Bookings,Away Sending Off,bookings,bookings,medium,False,True
Bookings,Away Team Total Bookings,bookings,bookings,medium,False,True
Bookings,Booking Points-Over/Under,bookings,bookings,medium,False,True
Bookings,Bookings - Over/Under,bookings,bookings,medium,False,True
Bookings,Bookings 1X2,bookings,bookings,medium,False,True
Bookings,Bookings Handicap,bookings,bookings,medium,False,True
Bookings,Exact Bookings,bookings,bookings,medium,False,True
Players,First Player Carded,bookings,bookings,medium,False,True
Bookings,Home Exact Bookings,bookings,bookings,medium,False,True
Bookings,Home Sending Off,bookings,bookings,medium,False,True
Bookings,Home Team Total Bookings,bookings,bookings,medium,False,True
Players,Player to be carded (incl. overtime),bookings,bookings,medium,False,True
Bookings,Sending Off,bookings,bookings,medium,False,True
Teams,Team Cards,bookings,bookings,medium,False,True
Teams,Team Cards 1st Half,bookings,bookings,medium,False,True
Teams,Team Cards 2nd Half,bookings,bookings,medium,False,True
Corners,1st Corner,corners,corners,medium,False,True
Corners,1st Half - 1st Corner,corners,corners,medium,False,True
Corners,1st Half - Corner 1X2,corners,corners,medium,False,True
Corners,1st Half - Corner Handicap,corners,corners,medium,False,True
Corners,1st Half - Corner Range,corners,corners,medium,False,True
Corners,1st Half - Last Corner,corners,corners,medium,False,True
Corners,1st Half - Odd/Even Corners,corners,corners,medium,False,True
Corners,1st Half -Away Exact Corners,corners,corners,medium,False,True
Corners,1st Half -Home Exact Corners,corners,corners,medium,False,True
Corners,1st Half Away Team Corners,corners,corners,medium,False,True
Corners,1st Half Corners - Over/Under,corners,corners,medium,False,True
Corners,1st Half Home Team Corners,corners,corners,medium,False,True
Corners,Away Corner Range,corners,corners,medium,False,True
Corners,Away Team Total Corners,corners,corners,medium,False,True
Corners,Corner Handicap,corners,corners,medium,False,True
Corners,Corner Range,corners,corners,medium,False,True
Corners,Corners - 1X2,corners,corners,medium,False,True
Corners,Corners - Over/Under,corners,corners,medium,False,True
Corners,Home Corner Range,corners,corners,medium,False,True
Corners,Home Team Total Corners,corners,corners,medium,False,True
Corners,Last Corner,corners,corners,medium,False,True
Corners,Odd/Even Corners,corners,corners,medium,False,True
Goals,1st Half - Odd/Even,goals_odd_even,totals,medium,False,False
Goals,2nd Half - Odd/Even,goals_odd_even,totals,medium,False,False
Goals,Away Team Odd/Even,goals_odd_even,totals,medium,False,False
Goals,Home Team Odd/Even,goals_odd_even,totals,medium,False,False
Main,Odd/Even,goals_odd_even,totals,medium,False,False
Half,1st Half - Asian Handicap,handicap,result,medium,False,True
Half,1st Half - Handicap,handicap,result,medium,False,True
Half,2nd Half - Asian Handicap,handicap,result,medium,False,True
Half,2nd Half - Handicap 0:1,handicap,result,medium,False,True
Half,2nd Half - Handicap 0:2,handicap,result,medium,False,True
Half,2nd Half - Handicap 1:0,handicap,result,medium,False,True
Half,2nd Half - Handicap 2:0,handicap,result,medium,False,True
Main,Asian Handicap -0.5,handicap,result,medium,False,True
Main,Asian Handicap -1,handicap,result,medium,False,True
Main,Asian Handicap -1.5,handicap,result,medium,False,True
Main,Asian Handicap -2,handicap,result,medium,False,True
Main,Asian Handicap -2.5,handicap,result,medium,False,True
Main,Asian Handicap -3,handicap,result,medium,False,True
Main,Asian Handicap 0,handicap,result,medium,False,True
Main,Asian Handicap 0.5,handicap,result,medium,False,True
Main,Asian Handicap 1,handicap,result,medium,False,True
Main,Asian Handicap 1.5,handicap,result,medium,False,True
Main,Asian Handicap 2,handicap,result,medium,False,True
Main,Asian Handicap 2.5,handicap,result,medium,False,True
Main,Handicap 0:1,handicap,result,medium,False,True
Main,Handicap 0:2,handicap,result,medium,False,True
Main,Handicap 0:3,handicap,result,medium,False,True
Main,Handicap 0:4,handicap,result,medium,False,True
Main,Handicap 0:5,handicap,result,medium,False,True
Main,Handicap 1:0,handicap,result,medium,False,True
Main,Handicap 2:0,handicap,result,medium,False,True
Main,Handicap 3:0,handicap,result,medium,False,True
Main,Handicap 4:0,handicap,result,medium,False,True
Main,Handicap 5:0,handicap,result,medium,False,True
Players,1st Goalscorer,players_goalscorer,player_props,medium,False,False
Players,Anytime Goalscorer,players_goalscorer,player_props,medium,False,False
Players,Last Goalscorer,players_goalscorer,player_props,medium,False,False
Goals,1st Half - Away Team Clean Sheet,team_goals,team_props,medium,False,False
Goals,1st Half - Home Team Clean Sheet,team_goals,team_props,medium,False,False
Goals,2nd Half - Away Team Clean Sheet,team_goals,team_props,medium,False,False
Goals,2nd Half - Home Team Clean Sheet,team_goals,team_props,medium,False,False
Half,2nd Half Away Team to Score Yes/No,team_goals,team_props,medium,False,False
Half,2nd Half Home Team to Score Yes/No,team_goals,team_props,medium,False,False
Main,Any Team To Score 2 or More Goals in a Row,team_goals,team_props,medium,False,False
Main,Any Team To Score 3 or More Goals in a Row,team_goals,team_props,medium,False,False
Goals,Away Team Clean Sheet,team_goals,team_props,medium,False,False
Goals,Away Team Goals,team_goals,team_props,medium,False,False
Main,Away Team To Score 2 or More Goals in a Row,team_goals,team_props,medium,False,False
Main,Away Team To Score 3 or More Goals in a Row,team_goals,team_props,medium,False,False
Goals,Away Team To Score Yes/No,team_goals,team_props,medium,False,False
Goals,Away Team to Score In Both Halves,team_goals,team_props,medium,False,False
Half,Half-time Away Team to Score Yes/No,team_goals,team_props,medium,False,False
Half,Half-time Home Team To Score Yes/No,team_goals,team_props,medium,False,False
Goals,Home Team Clean Sheet,team_goals,team_props,medium,False,False
Goals,Home Team Goals,team_goals,team_props,medium,False,False
Main,Home Team To Score 2 or More Goals in a Row,team_goals,team_props,medium,False,False
Main,Home Team To Score 3 or More Goals in a Row,team_goals,team_props,medium,False,False
Goals,Home Team To Score Yes/No,team_goals,team_props,medium,False,False
Goals,Home Team to Score In Both Halves,team_goals,team_props,medium,False,False
Players,Player to score in both halves,team_goals,team_props,medium,False,False
