event_id,country,league,home_team,away_team,event_time,event_url,market_group,market_title,selection,odds,market_id,outcome_id,product_id,selection_url
sr:match:61624466,Spain,LaLiga,Valencia,Alaves,08/03 Sunday 21:00,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&eventId=sr:match:61624466&marketGroupsName=Main,Main,1X2,Home,2.14,1,1,3,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&productId=3&eventId=sr:match:61624466&marketId=1&outcomeId=1&selected=0&odds=2.14&marketGroupsName=Main
sr:match:61624466,Spain,LaLiga,Valencia,Alaves,08/03 Sunday 21:00,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&eventId=sr:match:61624466&marketGroupsName=Main,Main,1X2,Draw,3.23,1,2,3,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&productId=3&eventId=sr:match:61624466&marketId=1&outcomeId=2&selected=0&odds=3.23&marketGroupsName=Main
sr:match:61624466,Spain,LaLiga,Valencia,Alaves,08/03 Sunday 21:00,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&eventId=sr:match:61624466&marketGroupsName=Main,Main,1X2,Away,4.10,1,3,3,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&productId=3&eventId=sr:match:61624466&marketId=1&outcomeId=3&selected=0&odds=4.10&marketGroupsName=Main
sr:match:61624466,Spain,LaLiga,Valencia,Alaves,08/03 Sunday 21:00,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&eventId=sr:match:61624466&marketGroupsName=Main,Main,1X2 - 1UP,Home,1.58,60200,1,3,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&productId=3&eventId=sr:match:61624466&marketId=60200&outcomeId=1&selected=0&odds=1.58&marketGroupsName=Main
sr:match:61624466,Spain,LaLiga,Valencia,Alaves,08/03 Sunday 21:00,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&eventId=sr:match:61624466&marketGroupsName=Main,Main,1X2 - 1UP,Draw,3.23,60200,2,3,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&productId=3&eventId=sr:match:61624466&marketId=60200&outcomeId=2&selected=0&odds=3.23&marketGroupsName=Main
sr:match:61624466,Spain,LaLiga,Valencia,Alaves,08/03 Sunday 21:00,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&eventId=sr:match:61624466&marketGroupsName=Main,Main,1X2 - 1UP,Away,2.30,60200,3,3,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&productId=3&eventId=sr:match:61624466&marketId=60200&outcomeId=3&selected=0&odds=2.30&marketGroupsName=Main
sr:match:61624466,Spain,LaLiga,Valencia,Alaves,08/03 Sunday 21:00,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&eventId=sr:match:61624466&marketGroupsName=Main,Main,1X2 - 2UP,Home,2.00,60100,1,3,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&productId=3&eventId=sr:match:61624466&marketId=60100&outcomeId=1&selected=0&odds=2.00&marketGroupsName=Main
sr:match:61624466,Spain,LaLiga,Valencia,Alaves,08/03 Sunday 21:00,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&eventId=sr:match:61624466&marketGroupsName=Main,Main,1X2 - 2UP,Draw,3.23,60100,2,3,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&productId=3&eventId=sr:match:61624466&marketId=60100&outcomeId=2&selected=0&odds=3.23&marketGroupsName=Main
sr:match:61624466,Spain,LaLiga,Valencia,Alaves,08/03 Sunday 21:00,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&eventId=sr:match:61624466&marketGroupsName=Main,Main,1X2 - 2UP,Away,3.65,60100,3,3,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&productId=3&eventId=sr:match:61624466&marketId=60100&outcomeId=3&selected=0&odds=3.65&marketGroupsName=Main
sr:match:61624466,Spain,LaLiga,Valencia,Alaves,08/03 Sunday 21:00,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&eventId=sr:match:61624466&marketGroupsName=Main,Main,Over/Under,Over 1,1.15,18,12,3,https://www.sportybet.com/ng/lite/preMatch/detail?fromUrl=%2Fng%2Flite&sportId=sr:sport:1&productId=3&eventId=sr:match:61624466&marketId=18&outcomeId=12&selected=0&odds=1.15&marketGroupsName=Main&specifier=total%3D1
