date,time,home_team,away_team,home_goals,away_goals,stage,score_token,detail,competition_code,competition_label,season_start
2023-09-19,18.45,AC Milan,Newcastle United FC,0,0,"Group, Matchday 1",0-0,,CL,Champions League,2023
2023-09-19,,BSC Young Boys,RB Leipzig,1,3,"Group, Matchday 1",1-3,(1-1),CL,Champions League,2023
2023-09-19,21.00,SS Lazio,Club Atlético de Madrid,1,1,"Group, Matchday 1",1-1,(0-1),CL,Champions League,2023
2023-09-19,,Feyenoord Rotterdam,Celtic FC,2,0,"Group, Matchday 1",2-0,(1-0),CL,Champions League,2023
2023-09-19,,Paris Saint-Germain FC,Borussia Dortmund,2,0,"Group, Matchday 1",2-0,(0-0),CL,Champions League,2023
2023-09-19,,Manchester City FC,FK Crvena Zvezda,3,1,"Group, Matchday 1",3-1,(0-1),CL,Champions League,2023
2023-09-19,,FC Barcelona,Royal Antwerp FC,5,0,"Group, Matchday 1",5-0,(3-0),CL,Champions League,2023
2023-09-19,,FK Shakhtar Donetsk,FC Porto,1,3,"Group, Matchday 1",1-3,(1-3),CL,Champions League,2023
2023-09-20,18.45,Real Madrid CF,1. FC Union Berlin,1,0,"Group, Matchday 1",1-0,(0-0),CL,Champions League,2023
2023-09-20,,Galatasaray SK,FC København,2,2,"Group, Matchday 1",2-2,(0-1),CL,Champions League,2023
2023-09-20,21.00,Sevilla FC,Racing Club de Lens,1,1,"Group, Matchday 1",1-1,(1-1),CL,Champions League,2023
2023-09-20,,Sporting Clube de Braga,SSC Napoli,1,2,"Group, Matchday 1",1-2,(0-1),CL,Champions League,2023
2023-09-20,,Real Sociedad de Fútbol,FC Internazionale Milano,1,1,"Group, Matchday 1",1-1,(1-0),CL,Champions League,2023
2023-09-20,,Sport Lisboa e Benfica,FC Red Bull Salzburg,0,2,"Group, Matchday 1",0-2,(0-1),CL,Champions League,2023
2023-09-20,,FC Bayern München,Manchester United FC,4,3,"Group, Matchday 1",4-3,(2-0),CL,Champions League,2023
2023-09-20,,Arsenal FC,PSV,4,0,"Group, Matchday 1",4-0,(3-0),CL,Champions League,2023
2023-10-03,18.45,1. FC Union Berlin,Sporting Clube de Braga,2,3,"Group, Matchday 2",2-3,(2-1),CL,Champions League,2023
2023-10-03,,FC Red Bull Salzburg,Real Sociedad de Fútbol,0,2,"Group, Matchday 2",0-2,(0-2),CL,Champions League,2023
2023-10-03,21.00,SSC Napoli,Real Madrid CF,2,3,"Group, Matchday 2",2-3,(1-2),CL,Champions League,2023
2023-10-03,,FC Internazionale Milano,Sport Lisboa e Benfica,1,0,"Group, Matchday 2",1-0,(0-0),CL,Champions League,2023
2023-10-03,,FC København,FC Bayern München,1,2,"Group, Matchday 2",1-2,(0-0),CL,Champions League,2023
2023-10-03,,Manchester United FC,Galatasaray SK,2,3,"Group, Matchday 2",2-3,(1-1),CL,Champions League,2023
2023-10-03,,Racing Club de Lens,Arsenal FC,2,1,"Group, Matchday 2",2-1,(1-1),CL,Champions League,2023
2023-10-03,,PSV,Sevilla FC,2,2,"Group, Matchday 2",2-2,(0-0),CL,Champions League,2023
2023-10-04,18.45,Club Atlético de Madrid,Feyenoord Rotterdam,3,2,"Group, Matchday 2",3-2,(2-2),CL,Champions League,2023
