date,time,home_team,away_team,home_goals,away_goals,stage,score_token,detail,competition_code,competition_label,season_start
2014-09-16,20.45,Olympiakos Piraeus,Atlético Madrid,3,2,Group A,3-2,(2-1),CL,Champions League,2014
2014-09-16,,Juventus,Malmö FF,2,0,Group A,2-0,(0-0),CL,Champions League,2014
2014-10-01,20.45,Atlético Madrid,Juventus,1,0,Group A,1-0,(0-0),CL,Champions League,2014
2014-10-01,,Malmö FF,Olympiakos Piraeus,2,0,Group A,2-0,(1-0),CL,Champions League,2014
2014-10-22,20.45,Atlético Madrid,Malmö FF,5,0,Group A,5-0,(0-0),CL,Champions League,2014
2014-10-22,,Olympiakos Piraeus,Juventus,1,0,Group A,1-0,(1-0),CL,Champions League,2014
2014-11-04,20.45,Malmö FF,Atlético Madrid,0,2,Group A,0-2,(0-1),CL,Champions League,2014
2014-11-04,,Juventus,Olympiakos Piraeus,3,2,Group A,3-2,(1-1),CL,Champions League,2014
2014-11-26,20.45,Atlético Madrid,Olympiakos Piraeus,4,0,Group A,4-0,(2-0),CL,Champions League,2014
2014-11-26,,Malmö FF,Juventus,0,2,Group A,0-2,(0-0),CL,Champions League,2014
2014-12-09,20.45,Juventus,Atlético Madrid,0,0,Group A,0-0,,CL,Champions League,2014
2014-12-09,,Olympiakos Piraeus,Malmö FF,4,2,Group A,4-2,(1-0),CL,Champions League,2014
2014-09-16,20.45,Real Madrid,FC Basel 1893,5,1,Group B,5-1,(4-1),CL,Champions League,2014
2014-09-16,,Liverpool FC,PFC Ludogorets Razgrad,2,1,Group B,2-1,(0-0),CL,Champions League,2014
2014-10-01,20.45,FC Basel 1893,Liverpool FC,1,0,Group B,1-0,(0-0),CL,Champions League,2014
2014-10-01,,PFC Ludogorets Razgrad,Real Madrid,1,2,Group B,1-2,(1-1),CL,Champions League,2014
2014-10-22,20.45,PFC Ludogorets Razgrad,FC Basel 1893,1,0,Group B,1-0,(0-0),CL,Champions League,2014
2014-10-22,,Liverpool FC,Real Madrid,0,3,Group B,0-3,(0-3),CL,Champions League,2014
2014-11-04,20.45,FC Basel 1893,PFC Ludogorets Razgrad,4,0,Group B,4-0,(2-0),CL,Champions League,2014
2014-11-04,,Real Madrid,Liverpool FC,1,0,Group B,1-0,(1-0),CL,Champions League,2014
2014-11-26,20.45,FC Basel 1893,Real Madrid,0,1,Group B,0-1,(0-1),CL,Champions League,2014
2014-11-26,,PFC Ludogorets Razgrad,Liverpool FC,2,2,Group B,2-2,(1-2),CL,Champions League,2014
2014-12-09,20.45,Liverpool FC,FC Basel 1893,1,1,Group B,1-1,(0-1),CL,Champions League,2014
2014-12-09,,Real Madrid,PFC Ludogorets Razgrad,4,0,Group B,4-0,(2-0),CL,Champions League,2014
2014-09-16,20.45,AS Monaco,Bayer Leverkusen,1,0,Group C,1-0,(0-0),CL,Champions League,2014
2014-09-16,,SL Benfica,Zenit St. Petersburg,0,2,Group C,0-2,(0-2),CL,Champions League,2014
2014-10-01,18.00,Zenit St. Petersburg,AS Monaco,0,0,Group C,0-0,,CL,Champions League,2014
2014-10-01,20.45,Bayer Leverkusen,SL Benfica,3,1,Group C,3-1,(2-0),CL,Champions League,2014
2014-10-22,20.45,AS Monaco,SL Benfica,0,0,Group C,0-0,,CL,Champions League,2014
2014-10-22,,Bayer Leverkusen,Zenit St. Petersburg,2,0,Group C,2-0,(0-0),CL,Champions League,2014
2014-11-04,18.00,Zenit St. Petersburg,Bayer Leverkusen,1,2,Group C,1-2,(0-0),CL,Champions League,2014
2014-11-04,20.45,SL Benfica,AS Monaco,1,0,Group C,1-0,(0-0),CL,Champions League,2014
2014-11-26,18.00,Zenit St. Petersburg,SL Benfica,1,0,Group C,1-0,(0-0),CL,Champions League,2014
2014-11-26,20.45,Bayer Leverkusen,AS Monaco,0,1,Group C,0-1,(0-0),CL,Champions League,2014
2014-12-09,20.45,AS Monaco,Zenit St. Petersburg,2,0,Group C,2-0,(0-0),CL,Champions League,2014
2014-12-09,,SL Benfica,Bayer Leverkusen,0,0,Group C,0-0,,CL,Champions League,2014
2014-09-16,20.45,Borussia Dortmund,Arsenal FC,2,0,Group D,2-0,(1-0),CL,Champions League,2014
2014-09-16,,Galatasaray,RSC Anderlecht,1,1,Group D,1-1,(0-0),CL,Champions League,2014
2014-10-01,20.45,Arsenal FC,Galatasaray,4,1,Group D,4-1,(3-0),CL,Champions League,2014
2014-10-01,,RSC Anderlecht,Borussia Dortmund,0,3,Group D,0-3,(0-1),CL,Champions League,2014
2014-10-22,20.45,RSC Anderlecht,Arsenal FC,1,2,Group D,1-2,(0-0),CL,Champions League,2014
2014-10-22,,Galatasaray,Borussia Dortmund,0,4,Group D,0-4,(0-3),CL,Champions League,2014
2014-11-04,20.45,Arsenal FC,RSC Anderlecht,3,3,Group D,3-3,(2-0),CL,Champions League,2014
2014-11-04,,Borussia Dortmund,Galatasaray,4,1,Group D,4-1,(1-0),CL,Champions League,2014
2014-11-26,20.45,Arsenal FC,Borussia Dortmund,2,0,Group D,2-0,(1-0),CL,Champions League,2014
2014-11-26,,RSC Anderlecht,Galatasaray,2,0,Group D,2-0,(1-0),CL,Champions League,2014
2014-12-09,20.45,Galatasaray,Arsenal FC,1,4,Group D,1-4,(0-3),CL,Champions League,2014
2014-12-09,,Borussia Dortmund,RSC Anderlecht,1,1,Group D,1-1,(0-0),CL,Champions League,2014
2014-09-17,20.45,AS Roma,CSKA Moskva,5,1,Group E,5-1,(4-0),CL,Champions League,2014
2014-09-17,,Bayern München,Manchester City,1,0,Group E,1-0,(0-0),CL,Champions League,2014
2014-09-30,18.00,CSKA Moskva,Bayern München,0,1,Group E,0-1,(0-1),CL,Champions League,2014
2014-09-30,20.45,Manchester City,AS Roma,1,1,Group E,1-1,(1-1),CL,Champions League,2014
2014-10-21,18.00,CSKA Moskva,Manchester City,2,2,Group E,2-2,(0-2),CL,Champions League,2014
2014-10-21,20.45,AS Roma,Bayern München,1,7,Group E,1-7,(0-5),CL,Champions League,2014
2014-11-05,20.45,Bayern München,AS Roma,2,0,Group E,2-0,(1-0),CL,Champions League,2014
2014-11-05,,Manchester City,CSKA Moskva,1,2,Group E,1-2,(1-2),CL,Champions League,2014
2014-11-25,18.00,CSKA Moskva,AS Roma,1,1,Group E,1-1,(0-1),CL,Champions League,2014
2014-11-25,20.45,Manchester City,Bayern München,3,2,Group E,3-2,(1-2),CL,Champions League,2014
2014-12-10,20.45,AS Roma,Manchester City,0,2,Group E,0-2,(0-0),CL,Champions League,2014
2014-12-10,,Bayern München,CSKA Moskva,3,0,Group E,3-0,(1-0),CL,Champions League,2014
2014-09-17,20.45,AFC Ajax,Paris Saint-Germain,1,1,Group F,1-1,(0-1),CL,Champions League,2014
2014-09-17,,FC Barcelona,APOEL Nikosia,1,0,Group F,1-0,(1-0),CL,Champions League,2014
