date,time,home_team,away_team,home_goals,away_goals,stage,score_token,detail,competition_code,competition_label,season_start
2025-09-16,18.45,Athletic Club,Arsenal FC,0,2,"League, Matchday 1",0-2,(0-0),CL,Champions League,2025
2025-09-16,,PSV,Royale Union Saint-Gilloise,1,3,"League, Matchday 1",1-3,(0-2),CL,Champions League,2025
2025-09-16,21.00,Juventus FC,Borussia Dortmund,4,4,"League, Matchday 1",4-4,(0-0),CL,Champions League,2025
2025-09-16,,Sport Lisboa e Benfica,Qarabağ Ağdam FK,2,3,"League, Matchday 1",2-3,(2-1),CL,Champions League,2025
2025-09-16,,Tottenham Hotspur FC,Villarreal CF,1,0,"League, Matchday 1",1-0,(1-0),CL,Champions League,2025
2025-09-16,,Real Madrid CF,Olympique de Marseille,2,1,"League, Matchday 1",2-1,(1-1),CL,Champions League,2025
2025-09-17,18.45,SK Slavia Praha,FK Bodø/Glimt,2,2,"League, Matchday 1",2-2,(1-0),CL,Champions League,2025
2025-09-17,,PAE Olympiakos SFP,Paphos FC,0,0,"League, Matchday 1",0-0,,CL,Champions League,2025
2025-09-17,21.00,AFC Ajax,FC Internazionale Milano,0,2,"League, Matchday 1",0-2,(0-1),CL,Champions League,2025
2025-09-17,,Liverpool FC,Club Atlético de Madrid,3,2,"League, Matchday 1",3-2,(2-1),CL,Champions League,2025
2025-09-17,,Paris Saint-Germain FC,Atalanta BC,4,0,"League, Matchday 1",4-0,(2-0),CL,Champions League,2025
2025-09-17,,FC Bayern München,Chelsea FC,3,1,"League, Matchday 1",3-1,(2-1),CL,Champions League,2025
2025-09-18,18.45,FC København,Bayer 04 Leverkusen,2,2,"League, Matchday 1",2-2,(1-0),CL,Champions League,2025
2025-09-18,,Club Brugge KV,AS Monaco FC,4,1,"League, Matchday 1",4-1,(3-0),CL,Champions League,2025
2025-09-18,21.00,Newcastle United FC,FC Barcelona,1,2,"League, Matchday 1",1-2,(0-0),CL,Champions League,2025
2025-09-18,,Manchester City FC,SSC Napoli,2,0,"League, Matchday 1",2-0,(0-0),CL,Champions League,2025
2025-09-18,,Eintracht Frankfurt,Galatasaray SK,5,1,"League, Matchday 1",5-1,(3-1),CL,Champions League,2025
2025-09-18,,Sporting Clube de Portugal,FK Kairat,4,1,"League, Matchday 1",4-1,(1-0),CL,Champions League,2025
2025-09-30,18.45,Atalanta BC,Club Brugge KV,2,1,"League, Matchday 2",2-1,(0-1),CL,Champions League,2025
2025-09-30,,FK Kairat,Real Madrid CF,0,5,"League, Matchday 2",0-5,(0-1),CL,Champions League,2025
2025-09-30,21.00,Galatasaray SK,Liverpool FC,1,0,"League, Matchday 2",1-0,(1-0),CL,Champions League,2025
2025-09-30,,Club Atlético de Madrid,Eintracht Frankfurt,5,1,"League, Matchday 2",5-1,(3-0),CL,Champions League,2025
2025-09-30,,Olympique de Marseille,AFC Ajax,4,0,"League, Matchday 2",4-0,(3-0),CL,Champions League,2025
2025-09-30,,FK Bodø/Glimt,Tottenham Hotspur FC,2,2,"League, Matchday 2",2-2,(0-0),CL,Champions League,2025
2025-09-30,,Paphos FC,FC Bayern München,1,5,"League, Matchday 2",1-5,(1-4),CL,Champions League,2025
2025-09-30,,Chelsea FC,Sport Lisboa e Benfica,1,0,"League, Matchday 2",1-0,(1-0),CL,Champions League,2025
2025-09-30,,FC Internazionale Milano,SK Slavia Praha,3,0,"League, Matchday 2",3-0,(2-0),CL,Champions League,2025
2025-10-01,18.45,Qarabağ Ağdam FK,FC København,2,0,"League, Matchday 2",2-0,(1-0),CL,Champions League,2025
2025-10-01,,Royale Union Saint-Gilloise,Newcastle United FC,0,4,"League, Matchday 2",0-4,(0-2),CL,Champions League,2025
2025-10-01,21.00,Borussia Dortmund,Athletic Club,4,1,"League, Matchday 2",4-1,(1-0),CL,Champions League,2025
2025-10-01,,FC Barcelona,Paris Saint-Germain FC,1,2,"League, Matchday 2",1-2,(1-1),CL,Champions League,2025
