date,time,home_team,away_team,home_goals,away_goals,stage,score_token,detail,competition_code,competition_label,season_start
2013-09-17,20.45,Manchester United,Bayer Leverkusen,4,2,Group A,4-2,(1-0),CL,Champions League,2013
2013-09-17,,Real Sociedad,Shakhtar Donetsk,0,2,Group A,0-2,(0-0),CL,Champions League,2013
2013-10-02,20.45,Shakhtar Donetsk,Manchester United,1,1,Group A,1-1,(0-1),CL,Champions League,2013
2013-10-02,,Bayer Leverkusen,Real Sociedad,2,1,Group A,2-1,(1-0),CL,Champions League,2013
2013-10-23,20.45,Bayer Leverkusen,Shakhtar Donetsk,4,0,Group A,4-0,(1-0),CL,Champions League,2013
2013-10-23,,Manchester United,Real Sociedad,1,0,Group A,1-0,(1-0),CL,Champions League,2013
2013-11-05,20.45,Shakhtar Donetsk,Bayer Leverkusen,0,0,Group A,0-0,,CL,Champions League,2013
2013-11-05,,Real Sociedad,Manchester United,0,0,Group A,0-0,,CL,Champions League,2013
2013-11-27,20.45,Bayer Leverkusen,Manchester United,0,5,Group A,0-5,(0-2),CL,Champions League,2013
2013-11-27,,Shakhtar Donetsk,Real Sociedad,4,0,Group A,4-0,(1-0),CL,Champions League,2013
2013-12-10,20.45,Manchester United,Shakhtar Donetsk,1,0,Group A,1-0,(0-0),CL,Champions League,2013
2013-12-10,,Real Sociedad,Bayer Leverkusen,0,1,Group A,0-1,(0-0),CL,Champions League,2013
2013-09-17,20.45,Galatasaray,Real Madrid,1,6,Group B,1-6,(0-1),CL,Champions League,2013
2013-09-17,,FC København,Juventus,1,1,Group B,1-1,(1-0),CL,Champions League,2013
2013-10-02,20.45,Juventus,Galatasaray,2,2,Group B,2-2,(0-1),CL,Champions League,2013
2013-10-02,,Real Madrid,FC København,4,0,Group B,4-0,(1-0),CL,Champions League,2013
2013-10-23,20.45,Real Madrid,Juventus,2,1,Group B,2-1,(2-1),CL,Champions League,2013
2013-10-23,,Galatasaray,FC København,3,1,Group B,3-1,(3-0),CL,Champions League,2013
2013-11-05,20.45,Juventus,Real Madrid,2,2,Group B,2-2,(1-0),CL,Champions League,2013
2013-11-05,,FC København,Galatasaray,1,0,Group B,1-0,(1-0),CL,Champions League,2013
2013-11-27,20.45,Real Madrid,Galatasaray,4,1,Group B,4-1,(1-1),CL,Champions League,2013
2013-11-27,,Juventus,FC København,3,1,Group B,3-1,(1-0),CL,Champions League,2013
2013-12-10,20.45,FC København,Real Madrid,0,2,Group B,0-2,(0-1),CL,Champions League,2013
2013-12-11,14.00,Galatasaray,Juventus,1,0,Group B,1-0,(0-0),CL,Champions League,2013
2013-09-17,20.45,Olympiakos Piraeus,Paris Saint-Germain,1,4,Group C,1-4,(1-1),CL,Champions League,2013
2013-09-17,,SL Benfica,RSC Anderlecht,2,0,Group C,2-0,(2-0),CL,Champions League,2013
2013-10-02,20.45,Paris Saint-Germain,SL Benfica,3,0,Group C,3-0,(3-0),CL,Champions League,2013
2013-10-02,,RSC Anderlecht,Olympiakos Piraeus,0,3,Group C,0-3,(0-1),CL,Champions League,2013
2013-10-23,20.45,RSC Anderlecht,Paris Saint-Germain,0,5,Group C,0-5,(0-3),CL,Champions League,2013
2013-10-23,,SL Benfica,Olympiakos Piraeus,1,1,Group C,1-1,(0-1),CL,Champions League,2013
2013-11-05,20.45,Paris Saint-Germain,RSC Anderlecht,1,1,Group C,1-1,(0-0),CL,Champions League,2013
2013-11-05,,Olympiakos Piraeus,SL Benfica,1,0,Group C,1-0,(1-0),CL,Champions League,2013
2013-11-27,20.45,RSC Anderlecht,SL Benfica,2,3,Group C,2-3,(1-1),CL,Champions League,2013
2013-11-27,,Paris Saint-Germain,Olympiakos Piraeus,2,1,Group C,2-1,(1-0),CL,Champions League,2013
2013-12-10,20.45,SL Benfica,Paris Saint-Germain,2,1,Group C,2-1,(1-1),CL,Champions League,2013
2013-12-10,,Olympiakos Piraeus,RSC Anderlecht,3,1,Group C,3-1,(1-1),CL,Champions League,2013
2013-09-17,20.45,Bayern München,CSKA Moskva,3,0,Group D,3-0,(2-0),CL,Champions League,2013
2013-09-17,,Viktoria Plzeň,Manchester City,0,3,Group D,0-3,(0-0),CL,Champions League,2013
2013-10-02,18.00,CSKA Moskva,Viktoria Plzeň,3,2,Group D,3-2,(2-1),CL,Champions League,2013
2013-10-02,20.45,Manchester City,Bayern München,1,3,Group D,1-3,(0-1),CL,Champions League,2013
2013-10-23,18.00,CSKA Moskva,Manchester City,1,2,Group D,1-2,(1-2),CL,Champions League,2013
2013-10-23,20.45,Bayern München,Viktoria Plzeň,5,0,Group D,5-0,(2-0),CL,Champions League,2013
2013-11-05,20.45,Manchester City,CSKA Moskva,5,2,Group D,5-2,(3-1),CL,Champions League,2013
2013-11-05,,Viktoria Plzeň,Bayern München,0,1,Group D,0-1,(0-0),CL,Champions League,2013
2013-11-27,18.00,CSKA Moskva,Bayern München,1,3,Group D,1-3,(0-1),CL,Champions League,2013
2013-11-27,20.45,Manchester City,Viktoria Plzeň,4,2,Group D,4-2,(1-1),CL,Champions League,2013
2013-12-10,20.45,Bayern München,Manchester City,2,3,Group D,2-3,(2-1),CL,Champions League,2013
2013-12-10,,Viktoria Plzeň,CSKA Moskva,2,1,Group D,2-1,(0-0),CL,Champions League,2013
2013-09-18,20.45,Chelsea FC,FC Basel 1893,1,2,Group E,1-2,(1-0),CL,Champions League,2013
2013-09-18,,FC Schalke 04,FC Steaua Bucureşti,3,0,Group E,3-0,(0-0),CL,Champions League,2013
2013-10-01,20.45,FC Basel 1893,FC Schalke 04,0,1,Group E,0-1,(0-0),CL,Champions League,2013
2013-10-01,,FC Steaua Bucureşti,Chelsea FC,0,4,Group E,0-4,(0-2),CL,Champions League,2013
2013-10-22,20.45,FC Schalke 04,Chelsea FC,0,3,Group E,0-3,(0-1),CL,Champions League,2013
2013-10-22,,FC Steaua Bucureşti,FC Basel 1893,1,1,Group E,1-1,(0-0),CL,Champions League,2013
2013-11-06,20.45,Chelsea FC,FC Schalke 04,3,0,Group E,3-0,(1-0),CL,Champions League,2013
2013-11-06,,FC Basel 1893,FC Steaua Bucureşti,1,1,Group E,1-1,(0-1),CL,Champions League,2013
2013-11-26,20.45,FC Basel 1893,Chelsea FC,1,0,Group E,1-0,(0-0),CL,Champions League,2013
2013-11-26,,FC Steaua Bucureşti,FC Schalke 04,0,0,Group E,0-0,,CL,Champions League,2013
2013-12-11,20.45,FC Schalke 04,FC Basel 1893,2,0,Group E,2-0,(0-0),CL,Champions League,2013
2013-12-11,,Chelsea FC,FC Steaua Bucureşti,1,0,Group E,1-0,(1-0),CL,Champions League,2013
2013-09-18,20.45,Olympique Marseille,Arsenal FC,1,2,Group F,1-2,(0-0),CL,Champions League,2013
2013-09-18,,SSC Napoli,Borussia Dortmund,2,1,Group F,2-1,(1-0),CL,Champions League,2013
