date,time,home_team,away_team,home_goals,away_goals,stage,score_token,detail,competition_code,competition_label,season_start
2024-09-17,18.45,BSC Young Boys,Aston Villa FC,0,3,"League, Matchday 1",0-3,(0-2),CL,Champions League,2024
2024-09-17,,Juventus FC,PSV,3,1,"League, Matchday 1",3-1,(2-0),CL,Champions League,2024
2024-09-17,21.00,Sporting Clube de Portugal,Lille OSC,2,0,"League, Matchday 1",2-0,(1-0),CL,Champions League,2024
2024-09-17,,FC Bayern München,GNK Dinamo Zagreb,9,2,"League, Matchday 1",9-2,(3-0),CL,Champions League,2024
2024-09-17,,Real Madrid CF,VfB Stuttgart,3,1,"League, Matchday 1",3-1,(0-0),CL,Champions League,2024
2024-09-17,,AC Milan,Liverpool FC,1,3,"League, Matchday 1",1-3,(1-2),CL,Champions League,2024
2024-09-18,18.45,Bologna FC 1909,FK Shakhtar Donetsk,0,0,"League, Matchday 1",0-0,,CL,Champions League,2024
2024-09-18,,AC Sparta Praha,FC Red Bull Salzburg,3,0,"League, Matchday 1",3-0,(2-0),CL,Champions League,2024
2024-09-18,21.00,Manchester City FC,FC Internazionale Milano,0,0,"League, Matchday 1",0-0,,CL,Champions League,2024
2024-09-18,,Paris Saint-Germain FC,Girona FC,1,0,"League, Matchday 1",1-0,(0-0),CL,Champions League,2024
2024-09-18,,Club Brugge KV,Borussia Dortmund,0,3,"League, Matchday 1",0-3,(0-0),CL,Champions League,2024
2024-09-18,,Celtic FC,ŠK Slovan Bratislava,5,1,"League, Matchday 1",5-1,(1-0),CL,Champions League,2024
2024-09-19,18.45,Feyenoord Rotterdam,Bayer 04 Leverkusen,0,4,"League, Matchday 1",0-4,(0-4),CL,Champions League,2024
2024-09-19,,FK Crvena Zvezda,Sport Lisboa e Benfica,1,2,"League, Matchday 1",1-2,(0-2),CL,Champions League,2024
2024-09-19,21.00,AS Monaco FC,FC Barcelona,2,1,"League, Matchday 1",2-1,(1-1),CL,Champions League,2024
2024-09-19,,Stade Brestois 29,SK Sturm Graz,2,1,"League, Matchday 1",2-1,(1-1),CL,Champions League,2024
2024-09-19,,Atalanta BC,Arsenal FC,0,0,"League, Matchday 1",0-0,,CL,Champions League,2024
2024-09-19,,Club Atlético de Madrid,RB Leipzig,2,1,"League, Matchday 1",2-1,(1-1),CL,Champions League,2024
2024-10-01,18.45,VfB Stuttgart,AC Sparta Praha,1,1,"League, Matchday 2",1-1,(1-1),CL,Champions League,2024
2024-10-01,,FC Red Bull Salzburg,Stade Brestois 29,0,4,"League, Matchday 2",0-4,(0-1),CL,Champions League,2024
2024-10-01,21.00,ŠK Slovan Bratislava,Manchester City FC,0,4,"League, Matchday 2",0-4,(0-2),CL,Champions League,2024
2024-10-01,,Borussia Dortmund,Celtic FC,7,1,"League, Matchday 2",7-1,(5-1),CL,Champions League,2024
2024-10-01,,FC Barcelona,BSC Young Boys,5,0,"League, Matchday 2",5-0,(3-0),CL,Champions League,2024
2024-10-01,,FC Internazionale Milano,FK Crvena Zvezda,4,0,"League, Matchday 2",4-0,(1-0),CL,Champions League,2024
2024-10-01,,Bayer 04 Leverkusen,AC Milan,1,0,"League, Matchday 2",1-0,(0-0),CL,Champions League,2024
2024-10-01,,Arsenal FC,Paris Saint-Germain FC,2,0,"League, Matchday 2",2-0,(2-0),CL,Champions League,2024
2024-10-01,,PSV,Sporting Clube de Portugal,1,1,"League, Matchday 2",1-1,(1-0),CL,Champions League,2024
2024-10-02,18.45,Girona FC,Feyenoord Rotterdam,2,3,"League, Matchday 2",2-3,(1-2),CL,Champions League,2024
2024-10-02,,FK Shakhtar Donetsk,Atalanta BC,0,3,"League, Matchday 2",0-3,(0-2),CL,Champions League,2024
2024-10-02,21.00,Aston Villa FC,FC Bayern München,1,0,"League, Matchday 2",1-0,(0-0),CL,Champions League,2024
2024-10-02,,SK Sturm Graz,Club Brugge KV,0,1,"League, Matchday 2",0-1,(0-1),CL,Champions League,2024
2024-10-02,,Liverpool FC,Bologna FC 1909,2,0,"League, Matchday 2",2-0,(1-0),CL,Champions League,2024
2024-10-02,,RB Leipzig,Juventus FC,2,3,"League, Matchday 2",2-3,(1-0),CL,Champions League,2024
2024-10-02,,Sport Lisboa e Benfica,Club Atlético de Madrid,4,0,"League, Matchday 2",4-0,(1-0),CL,Champions League,2024
2024-10-02,,GNK Dinamo Zagreb,AS Monaco FC,2,2,"League, Matchday 2",2-2,(1-0),CL,Champions League,2024
2024-10-02,,Lille OSC,Real Madrid CF,1,0,"League, Matchday 2",1-0,(1-0),CL,Champions League,2024
2024-10-22,18.45,AS Monaco FC,FK Crvena Zvezda,5,1,"League, Matchday 3",5-1,(2-1),CL,Champions League,2024
2024-10-22,,AC Milan,Club Brugge KV,3,1,"League, Matchday 3",3-1,(1-0),CL,Champions League,2024
2024-10-22,21.00,Aston Villa FC,Bologna FC 1909,2,0,"League, Matchday 3",2-0,(0-0),CL,Champions League,2024
2024-10-22,,Girona FC,ŠK Slovan Bratislava,2,0,"League, Matchday 3",2-0,(1-0),CL,Champions League,2024
2024-10-22,,SK Sturm Graz,Sporting Clube de Portugal,0,2,"League, Matchday 3",0-2,(0-1),CL,Champions League,2024
2024-10-22,,Paris Saint-Germain FC,PSV,1,1,"League, Matchday 3",1-1,(0-1),CL,Champions League,2024
2024-10-22,,Real Madrid CF,Borussia Dortmund,5,2,"League, Matchday 3",5-2,(0-2),CL,Champions League,2024
2024-10-22,,Arsenal FC,FK Shakhtar Donetsk,1,0,"League, Matchday 3",1-0,(1-0),CL,Champions League,2024
2024-10-22,,Juventus FC,VfB Stuttgart,0,1,"League, Matchday 3",0-1,(0-0),CL,Champions League,2024
2024-10-23,18.45,Stade Brestois 29,Bayer 04 Leverkusen,1,1,"League, Matchday 3",1-1,(1-1),CL,Champions League,2024
2024-10-23,,Atalanta BC,Celtic FC,0,0,"League, Matchday 3",0-0,,CL,Champions League,2024
2024-10-23,21.00,BSC Young Boys,FC Internazionale Milano,0,1,"League, Matchday 3",0-1,(0-0),CL,Champions League,2024
2024-10-23,,FC Barcelona,FC Bayern München,4,1,"League, Matchday 3",4-1,(3-1),CL,Champions League,2024
2024-10-23,,Manchester City FC,AC Sparta Praha,5,0,"League, Matchday 3",5-0,(1-0),CL,Champions League,2024
2024-10-23,,RB Leipzig,Liverpool FC,0,1,"League, Matchday 3",0-1,(0-1),CL,Champions League,2024
2024-10-23,,Club Atlético de Madrid,Lille OSC,1,3,"League, Matchday 3",1-3,(1-0),CL,Champions League,2024
2024-10-23,,Sport Lisboa e Benfica,Feyenoord Rotterdam,1,3,"League, Matchday 3",1-3,(0-2),CL,Champions League,2024
2024-10-23,,FC Red Bull Salzburg,GNK Dinamo Zagreb,0,2,"League, Matchday 3",0-2,(0-0),CL,Champions League,2024
2024-11-05,18.45,ŠK Slovan Bratislava,GNK Dinamo Zagreb,1,4,"League, Matchday 4",1-4,(1-2),CL,Champions League,2024
2024-11-05,,PSV,Girona FC,4,0,"League, Matchday 4",4-0,(2-0),CL,Champions League,2024
2024-11-05,21.00,Sporting Clube de Portugal,Manchester City FC,4,1,"League, Matchday 4",4-1,(1-1),CL,Champions League,2024
