date,time,home_team,away_team,home_goals,away_goals,stage,score_token,detail,competition_code,competition_label,season_start
2018-09-18,21.00,AS Monaco,Atlético Madrid,1,2,Group A,1-2,(1-2),CL,Champions League,2018
2018-09-18,,Club Brugge KV,Borussia Dortmund,0,1,Group A,0-1,(0-0),CL,Champions League,2018
2018-10-03,21.00,Borussia Dortmund,AS Monaco,3,0,Group A,3-0,(0-0),CL,Champions League,2018
2018-10-03,,Atlético Madrid,Club Brugge KV,3,1,Group A,3-1,(1-1),CL,Champions League,2018
2018-10-24,18.55,Club Brugge KV,AS Monaco,1,1,Group A,1-1,(1-1),CL,Champions League,2018
2018-10-24,21.00,Borussia Dortmund,Atlético Madrid,4,0,Group A,4-0,(1-0),CL,Champions League,2018
2018-11-06,18.55,AS Monaco,Club Brugge KV,0,4,Group A,0-4,(0-3),CL,Champions League,2018
2018-11-06,21.00,Atlético Madrid,Borussia Dortmund,2,0,Group A,2-0,(1-0),CL,Champions League,2018
2018-11-28,18.55,Atlético Madrid,AS Monaco,2,0,Group A,2-0,(2-0),CL,Champions League,2018
2018-11-28,21.00,Borussia Dortmund,Club Brugge KV,0,0,Group A,0-0,,CL,Champions League,2018
2018-12-11,21.00,AS Monaco,Borussia Dortmund,0,2,Group A,0-2,(0-1),CL,Champions League,2018
2018-12-11,,Club Brugge KV,Atlético Madrid,0,0,Group A,0-0,,CL,Champions League,2018
2018-09-18,18.55,FC Barcelona,PSV Eindhoven,4,0,Group B,4-0,(1-0),CL,Champions League,2018
2018-09-18,,Inter,Tottenham Hotspur,2,1,Group B,2-1,(0-0),CL,Champions League,2018
2018-10-03,21.00,Tottenham Hotspur,FC Barcelona,2,4,Group B,2-4,(0-2),CL,Champions League,2018
2018-10-03,,PSV Eindhoven,Inter,1,2,Group B,1-2,(1-1),CL,Champions League,2018
2018-10-24,18.55,PSV Eindhoven,Tottenham Hotspur,2,2,Group B,2-2,(1-1),CL,Champions League,2018
2018-10-24,21.00,FC Barcelona,Inter,2,0,Group B,2-0,(1-0),CL,Champions League,2018
2018-11-06,21.00,Tottenham Hotspur,PSV Eindhoven,2,1,Group B,2-1,(0-1),CL,Champions League,2018
2018-11-06,,Inter,FC Barcelona,1,1,Group B,1-1,(0-0),CL,Champions League,2018
2018-11-28,21.00,PSV Eindhoven,FC Barcelona,1,2,Group B,1-2,(0-0),CL,Champions League,2018
2018-11-28,,Tottenham Hotspur,Inter,1,0,Group B,1-0,(0-0),CL,Champions League,2018
2018-12-11,21.00,FC Barcelona,Tottenham Hotspur,1,1,Group B,1-1,(1-0),CL,Champions League,2018
2018-12-11,,Inter,PSV Eindhoven,1,1,Group B,1-1,(0-1),CL,Champions League,2018
2018-09-18,21.00,Liverpool FC,Paris Saint-Germain,3,2,Group C,3-2,(2-1),CL,Champions League,2018
2018-09-18,,Crvena Zvezda,SSC Napoli,0,0,Group C,0-0,,CL,Champions League,2018
2018-10-03,18.55,Paris Saint-Germain,Crvena Zvezda,6,1,Group C,6-1,(4-0),CL,Champions League,2018
